ScriptStartTime,ScriptEndTime
2024-10-03 12:00:53,2024-10-03 13:45:07
2024-10-03 13:48:22,2024-10-03 15:26:03
2024-10-04 07:17:49,2024-10-04 07:19:31
2024-10-04 07:47:53,2024-10-04 07:49:32
2024-10-04 08:00:54,2024-10-04 08:01:02
2024-10-04 08:01:59,2024-10-04 13:49:49
2024-10-04 13:54:51,2024-10-04 15:27:04
2024-10-04 15:27:42,2024-10-04 16:10:53
